# compute-mfcc-feats --write-utt2dur=ark,t:exp/make_mfcc/train_teamlab/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train_teamlab/wav_train_teamlab.1.scp ark:- | copy-feats --write-num-frames=ark,t:exp/make_mfcc/train_teamlab/utt2num_frames.1 --compress=true ark:- ark,scp:/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.ark,/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.scp 
# Started at Thu May 27 13:39:30 CEST 2021
#
copy-feats --write-num-frames=ark,t:exp/make_mfcc/train_teamlab/utt2num_frames.1 --compress=true ark:- ark,scp:/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.ark,/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.scp 
compute-mfcc-feats --write-utt2dur=ark,t:exp/make_mfcc/train_teamlab/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train_teamlab/wav_train_teamlab.1.scp ark:- 
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_417_63_427_84
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_438_47_449_76
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_449_77_459_95
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_462_09_472_59
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 100 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_478_04_486_61
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_4_52_17_95
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_518_07_537_72
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_537_80_540_58
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_543_73_547_44
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_547_89_558_38
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_560_89_575_74
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_579_80_589_20
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_595_52_610_87
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_613_22_620_76
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 110 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_624_25_632_01
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_633_00_638_77
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_63_94_85_70
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_641_38_647_26
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_649_73_655_07
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_658_61_663_36
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_666_65_684_60
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_684_63_692_95
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_697_55_705_00
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_705_79_715_01
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 120 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_715_48_719_02
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_728_40_732_42
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_733_47_741_91
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_741_92_745_54
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_751_68_754_17
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_768_59_780_54
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_786_06_794_97
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_795_38_798_01
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_799_91_802_75
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_824_97_830_61
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 130 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_833_70_848_75
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_857_32_867_69
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_867_70_871_31
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_885_99_889_68
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_892_69_895_13
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_895_98_905_89
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_916_62_934_10
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_934_11_950_21
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_951_92_957_23
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_958_16_987_81
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 140 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_998_96_1014_81
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key d_4_0_00_10_19
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key d_4_101_82_113_53
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key d_4_114_09_130_36
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key d_4_11_97_20_67
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key d_4_130_76_133_76
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key d_4_146_90_150_65
